tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
312309	Vibrio fischeri ES114	3280019	0	live	abgR	VF_A0730, VFA0730	DNA-binding transcriptional regulator			II	NC_006841.2	826434	827321	minus	0		
312309	Vibrio fischeri ES114	3280138	0	live	ace	VF_A0577, VFA0577	enterotoxin			II	NC_006841.2	661082	661366	minus	0		
312309	Vibrio fischeri ES114	3280323	0	live	acfC	VF_A1074, VFA1074	accessory colonization factor AcfC			II	NC_006841.2	1212467	1213222	plus	0		
312309	Vibrio fischeri ES114	3280580	0	live	ackA2	VF_A0794, VFA0794	acetate kinase			II	NC_006841.2	889937	891133	minus	0		
312309	Vibrio fischeri ES114	3279840	0	live	acrA	VF_A1152, VFA1150, VFA1151, VFA1152	multidrug efflux system			II	NC_006841.2	1294499	1295617	minus	0		
312309	Vibrio fischeri ES114	3280565	0	live	acrF	VF_A1149, VFA1149	multidrug efflux system protein			II	NC_006841.2	1291345	1294497	minus	0		
312309	Vibrio fischeri ES114	3279998	0	live	adrA	VF_A0796, VFA0796	GGDEF domain-containing protein			II	NC_006841.2	892435	893397	plus	0		
312309	Vibrio fischeri ES114	3279999	0	live	afuC	VF_A1091, VFA1091	CP4-6 prophage; ferric transporter subunit			II	NC_006841.2	1230984	1232003	plus	0		
312309	Vibrio fischeri ES114	3280902	0	live	agaC	VF_A1002, VFA1002	PTS system, N-acetylgalactosamine-specific IIC component			II	NC_006841.2	1126059	1126829	minus	0		
312309	Vibrio fischeri ES114	3280652	0	live	agaD	VF_A1001, VFA1001	N-acetylgalactosamine-specific enzyme IID component of PTS			II	NC_006841.2	1125152	1126069	minus	0		
312309	Vibrio fischeri ES114	3280639	0	live	agaR	VF_A1006, VFA1006	DNA-binding transcriptional dual regulator			II	NC_006841.2	1129870	1130646	minus	0		
312309	Vibrio fischeri ES114	3280900	0	live	agaS	VF_A1004, VFA1004	tagatose-6-phosphate ketose/aldose isomerase			II	NC_006841.2	1127355	1128524	minus	0		
312309	Vibrio fischeri ES114	3280903	0	live	agaV	VF_A1003, VFA1003	N-acetylgalactosamine-specific enzyme IIB component of PTS			II	NC_006841.2	1126840	1127340	minus	0		
312309	Vibrio fischeri ES114	3280895	0	live	alx	VF_A0278, VFA0278	membrane-bound redox modulator that IS induced by high pH			II	NC_006841.2	308442	309398	minus	0		
312309	Vibrio fischeri ES114	3280332	0	live	anmK	VF_A0492, VFA0492	anhydro-N-acetylmuramic acid kinase			II	NC_006841.2	566145	567248	minus	0		
312309	Vibrio fischeri ES114	3280727	0	live	aroG	VF_A0394, VFA0394	phospho-2-dehydro-3-deoxyheptonate aldolase			II	NC_006841.2	445832	446884	plus	0		
312309	Vibrio fischeri ES114	3280726	0	live	aslB	VF_A0900, VFA0900	regulator of arylsulfatase activity			II	NC_006841.2	1020200	1021495	plus	0		
312309	Vibrio fischeri ES114	3280641	0	live	astB	VF_A0847, VFA0847	succinylarginine dihydrolase			II	NC_006841.2	955610	956944	minus	0		
312309	Vibrio fischeri ES114	3280704	0	live	bcsA	VF_A0884, VFA0884	cellulose synthase catalytic subunit			II	NC_006841.2	999910	1002513	minus	0		
312309	Vibrio fischeri ES114	3280378	0	live	bcsB	VF_A0883, VFA0883	cellulose synthase regulator protein			II	NC_006841.2	997602	999896	minus	0		
312309	Vibrio fischeri ES114	3280311	0	live	bcsE	VF_A0886, VFA0886	hypothetical protein			II	NC_006841.2	1003778	1005322	plus	0		
